distance,rate,rating,total_reviews,is_verified,booking_success
7.803532317523569,127.186123279071,4.060461227700047,22,1,1
19.038928974993365,149.9291629218811,3.999368144347105,16,1,0
14.7738818653224,258.54600706262136,3.7642308687542902,13,1,0
12.173840441842213,111.90125002706925,4.410900005152232,100,1,1
3.542363488627512,262.8501601714688,4.214936240762944,100,0,1
3.5418931465559518,40.11831282835708,4.798551488486005,62,1,1
1.6326304372798894,236.38755460445975,3.548164370723087,87,1,1
17.390434842611235,256.5510754205999,4.465801891332689,78,0,0
12.221742728992572,66.81803105864154,4.644423317767342,67,1,1
14.307415267022886,137.6487617260771,4.63922985378246,91,0,1
0.9013976387681477,62.167435779141854,4.829110950643288,33,1,1
19.41324211715889,216.38217676335205,4.593550614244241,115,1,0
16.732631495608224,167.57411389757218,4.891715092471545,19,1,0
4.640612658226385,196.0671538118715,3.998984899731337,124,1,1
4.045586860538462,70.99878558252018,4.254814125127314,143,1,1
4.0763879421419595,75.34757068493957,3.521119494924336,120,1,1
6.432723737710986,26.826737770323316,3.510436380954937,97,1,1
10.732750416828639,106.78924753078297,3.86018993067728,24,1,1
8.922927863521258,174.52722848009736,3.6512107957086277,27,1,1
6.178968233861817,259.5114504892387,3.8903170519036303,75,1,1
12.4311314470864,205.074322525724,3.7655649417925963,23,1,0
3.2201302827148157,139.08795216892918,3.5427800372579723,41,0,0
6.196820646436754,286.6392326023293,4.863956219609074,56,0,1
7.644055944226988,219.98488216411207,3.5123346970833373,98,1,1
9.3933646922322,280.09708281582675,4.604123216505628,146,1,1
15.810931247163765,165.3625723825672,3.7282218303792747,6,1,0
4.393638752088014,88.78771831604479,4.8683444329994,40,1,1
10.527571549065426,30.055605613945765,4.839193909384829,42,1,1
12.052084092809828,221.93418267289738,4.480851719553886,32,1,0
1.4057830480399556,49.57135443157723,4.508351224700908,10,1,1
12.347124612078048,101.29091155751064,3.508008712954533,69,1,1
3.8252204119021846,166.75420874691076,4.9773073491704025,9,1,1
1.7685060632129506,175.8587275172281,4.816748905363721,69,0,1
19.003267976439997,186.16621114133378,4.842659338595138,139,1,1
19.32982464495391,62.38276914966468,4.488866805576308,99,1,0
16.263748288270993,123.22516037416989,4.017180392981805,74,0,0
6.439968498880728,190.90035472833551,4.8404729736357215,103,1,1
2.4046062231244854,291.39837642062867,3.9372753922267885,123,1,1
13.842544016987059,222.37487424441127,4.344067315013304,102,1,0
9.082973627922225,277.942070771778,3.6495964585158234,8,1,0
2.879745579473187,232.23043661954046,4.882933445199125,19,1,1
10.15594974716977,183.63933613433412,3.71115568665682,2,1,0
1.1705761617467587,69.72666020385819,3.837345208595611,55,1,1
18.23174784053625,205.0054107893662,4.337201237192323,139,1,0
5.546209641200329,192.66317629857352,4.646139500319473,17,1,0
13.419184544902649,186.70371358032094,4.429026958904449,61,1,0
6.578365983743514,154.58897237664863,3.8482008692002343,131,1,1
10.641326412967311,165.66713213694354,3.5014145637912355,86,1,0
11.160850447193953,110.31612022865966,4.635725870461159,35,0,0
4.104661882747777,163.0041174030564,4.977810988866641,103,0,1
19.40690024140889,71.3034331183663,4.7148696804591355,66,1,0
15.615090055541733,244.47470324770737,4.190309927234923,1,1,0
18.82022936050169,67.94643208913172,4.85565089209866,135,1,0
17.94913333333915,39.21539261849793,4.114771509677525,148,1,0
12.15904958681616,139.33011751178987,4.287401126365201,119,1,1
18.47654758295078,202.61762025922764,4.215694651093525,134,0,0
2.22560379001243,139.7492951060593,4.171435808998288,55,1,1
4.321665817173331,93.87492760612295,4.662786153940859,100,0,0
1.3819321337554924,174.0787874087756,4.290153360904238,21,0,0
6.843941449883655,113.89566559247699,3.975075683037824,51,1,1
8.0792071489449,280.8672916860904,3.8872372514877176,100,1,0
5.7913061195909705,277.95386478701806,3.55662097545115,8,0,0
16.66038142846262,158.1759686920472,4.374792742824569,68,1,0
7.456689870524991,108.44693829520368,3.8449421231015513,107,0,1
5.978222938903925,225.08273797764215,3.7222008830245747,144,1,1
11.082573621585846,25.46318889267399,4.480744945741517,67,1,1
3.2480223870078717,150.3091667224406,4.521813886732323,2,1,0
16.14284112470377,110.85216736704506,4.628232338386499,1,1,0
